uid,from_uid,value,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window
27,,3.072377064172989,60,28,44,96,60
65,,3.0762349238413917,64,28,36,168,56
66,,2.731370437112677,64,20,36,144,68
68,,3.51417912045614,72,12,28,120,68
70,,3.515266888234667,68,8,32,120,72
71,,3.643703048333443,68,8,32,120,68
72,,3.2156519540404207,72,4,32,120,68
73,,2.9732769234139167,72,4,32,120,72
74,,2.9732769234139167,72,4,32,120,72
75,,2.9732769234139167,72,4,32,120,72
76,,3.789030993501728,72,8,28,120,72
77,,2.7843273283687,68,8,20,120,72
79,,3.0432022303431863,68,12,28,120,64
81,,4.021123370990368,72,8,28,120,68
82,,2.501038036847221,68,8,20,120,68
87,,2.548049029216594,68,4,32,120,72
89,,3.5458886503342475,68,8,36,120,68
90,,3.2126225324904647,72,8,36,96,68
91,,3.2126225324904647,72,8,36,96,68
92,,3.957381853281025,72,8,36,120,68
93,,3.957381853281025,72,8,36,120,68
94,,2.9732769234139167,72,4,32,120,72
95,,4.047849921764479,72,8,32,120,68
96,,3.643703048333443,68,8,32,120,68
97,,3.3467271669182987,68,8,40,120,72
101,,3.3467271669182987,68,8,40,120,72
104,,3.9608739174823087,64,8,36,120,68
107,,2.870310583039057,68,4,32,120,68
110,,3.048239640115895,72,16,32,96,12
111,,3.711948302506385,64,8,40,120,72
112,,4.033594717200906,64,4,36,120,72
113,,4.033594717200906,64,4,36,120,72
114,,4.033594717200906,64,4,36,120,72
115,,4.029164398200101,60,4,40,120,72
117,,2.5406346642971043,64,4,40,96,72
118,,3.950289051604482,60,4,36,120,72
119,,3.950289051604482,60,4,36,120,72
120,,2.591713426391899,60,4,36,96,72
121,,3.950289051604482,60,4,36,120,72
122,,3.6909929264760586,56,4,36,120,72
123,,3.950289051604482,60,4,36,120,72
124,,3.950289051604482,60,4,36,120,72
126,,4.226843655618496,56,4,36,120,68
127,,3.703760501858586,56,4,40,120,64
128,,2.650334796290164,64,4,36,144,68
129,,4.163536611444732,60,4,36,96,68
130,,2.8929019194715577,64,4,40,96,64
131,,4.226843655618496,56,4,36,120,68
132,,2.917052945936866,60,4,32,96,68
133,,3.841938964080676,56,8,36,120,68
134,,3.841938964080676,56,8,36,120,68
135,,4.057901658315853,64,4,40,120,64
136,,2.660333939902956,64,4,44,96,64
139,,2.86585031957836,36,4,32,144,68
140,,3.768702794390562,56,8,40,120,68
141,,3.950289051604482,60,4,36,120,72
142,,4.383801129048291,60,4,36,120,68
143,,4.226843655618496,56,4,36,120,68
144,,2.973575586499393,56,8,32,120,64
145,,2.891502468723346,52,4,32,120,68
146,,2.6801497170869584,64,8,40,96,64
148,,2.718903579716936,60,4,44,144,28
149,,3.9608739174823087,64,8,36,120,68
151,,4.051779540590863,60,8,36,120,68
152,,4.383801129048291,60,4,36,120,68
153,,4.424350506325201,60,4,40,120,68
154,,4.2639727766994255,56,4,40,120,68
155,,3.703760501858586,56,4,40,120,64
156,,3.7023593321809423,52,4,44,96,68
157,,3.7681612993198,56,4,40,120,72
158,,3.731898719494727,60,4,40,144,64
159,,4.140668817167323,60,4,44,120,68
160,,4.140668817167323,60,4,44,120,68
161,,3.98877964434128,60,4,48,120,68
162,,3.752963645897889,60,4,44,120,72
163,,4.06191672478768,56,4,44,120,68
164,,4.06191672478768,56,4,44,120,68
165,,2.635229131176257,56,4,48,96,64
166,,3.9917764511439686,52,4,44,120,68
167,,4.06191672478768,56,4,44,120,68
171,,4.06191672478768,56,4,44,120,68
172,,4.06191672478768,56,4,44,120,68
173,,3.833045084843621,56,4,48,120,68
175,,3.9917764511439686,52,4,44,120,68
176,,3.5073374555424155,56,4,48,120,64
177,,2.536341518116071,56,8,44,120,68
178,,3.014253655132089,56,4,52,120,68
179,,2.57882730421922,60,8,44,96,64
180,,3.706997710950831,52,4,48,144,68
181,,4.424350506325201,60,4,40,120,68
182,,4.140668817167323,60,4,44,120,68
183,,4.140668817167323,60,4,44,120,68
184,,3.871125331955211,60,4,44,120,64
185,,4.06191672478768,56,4,44,120,68
186,,3.833045084843621,56,4,48,120,68
187,,4.06191672478768,56,4,44,120,68
188,,4.140668817167323,60,4,44,120,68
189,,4.140668817167323,60,4,44,120,68
190,,4.1198833231230045,60,4,40,120,64
191,,4.424350506325201,60,4,40,120,68
192,,4.424350506325201,60,4,40,120,68
195,,4.424350506325201,60,4,40,120,68
196,,3.971949145677128,60,8,40,120,68
197,,4.221658099255148,60,4,40,96,68
198,,3.854530518137477,60,4,40,96,64
199,,3.994152919403254,60,8,40,96,68
200,,3.854530518137477,60,4,40,96,64
201,,3.4378806102142,60,4,40,72,68
202,,4.424350506325201,60,4,40,120,68
204,,4.424350506325201,60,4,40,120,68
205,,3.971949145677128,60,8,40,120,68
206,,4.221658099255148,60,4,40,96,68
207,,4.221658099255148,60,4,40,96,68
209,,4.221658099255148,60,4,40,96,68
210,,3.4378806102142,60,4,40,72,68
211,,4.221658099255148,60,4,40,96,68
212,,4.221658099255148,60,4,40,96,68
213,,4.221658099255148,60,4,40,96,68
214,,2.5076069827244343,60,4,40,96,72
216,,3.7965564963625775,64,4,40,96,68
217,,2.591713426391899,60,4,36,96,72
218,,2.6801497170869584,64,8,40,96,64
219,,4.163536611444732,60,4,36,96,68
220,,4.163536611444732,60,4,36,96,68
221,,4.163536611444732,60,4,36,96,68
222,,4.163536611444732,60,4,36,96,68
223,,4.163536611444732,60,4,36,96,68
224,,3.854530518137477,60,4,40,96,64
225,,3.62291379909147,64,8,36,96,68
226,,3.5217548734356514,60,4,40,72,72
227,,3.800184065590285,64,8,40,96,68
228,,3.858532364360927,56,4,36,96,68
229,,2.5076069827244343,60,4,40,96,72
