number,value,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window,state
0,-0.3672756664274143,2023-12-07 13:34:32.408745,2023-12-07 13:34:32.602678,0 days 00:00:00.193933,52,64,20,24,4,COMPLETE
1,1.9903610157307985,2023-12-07 13:34:32.603369,2023-12-07 13:34:32.796851,0 days 00:00:00.193482,60,20,72,72,20,COMPLETE
2,-0.7407096197987797,2023-12-07 13:34:32.797709,2023-12-07 13:34:33.004118,0 days 00:00:00.206409,20,52,72,144,4,COMPLETE
3,0.20812203130298873,2023-12-07 13:34:33.005145,2023-12-07 13:34:33.204620,0 days 00:00:00.199475,16,64,68,24,56,COMPLETE
4,1.6986732343445254,2023-12-07 13:34:33.205594,2023-12-07 13:34:33.405896,0 days 00:00:00.200302,52,20,44,96,40,COMPLETE
5,-0.7544720048089816,2023-12-07 13:34:33.406834,2023-12-07 13:34:33.595811,0 days 00:00:00.188977,16,60,56,240,24,COMPLETE
6,0.29554738113132084,2023-12-07 13:34:33.596500,2023-12-07 13:34:33.784582,0 days 00:00:00.188082,20,72,24,48,12,COMPLETE
7,0.3097875419379758,2023-12-07 13:34:33.785330,2023-12-07 13:34:33.981937,0 days 00:00:00.196607,12,60,48,24,60,COMPLETE
8,1.1386365449988909,2023-12-07 13:34:33.982942,2023-12-07 13:34:34.173047,0 days 00:00:00.190105,12,20,56,144,64,COMPLETE
9,0.25219508912582195,2023-12-07 13:34:34.173742,2023-12-07 13:34:34.366538,0 days 00:00:00.192796,64,24,12,216,60,COMPLETE
10,1.1590887997996029,2023-12-07 13:34:34.367313,2023-12-07 13:34:34.570581,0 days 00:00:00.203268,68,36,32,96,36,COMPLETE
11,0.21781652527598597,2023-12-07 13:34:34.571310,2023-12-07 13:34:34.776272,0 days 00:00:00.204962,44,4,44,96,40,COMPLETE
12,-2.272918614934564,2023-12-07 13:34:34.776987,2023-12-07 13:34:34.983598,0 days 00:00:00.206611,56,12,4,96,36,COMPLETE
13,1.0282154909860137,2023-12-07 13:34:34.984360,2023-12-07 13:34:35.188863,0 days 00:00:00.204503,36,32,60,72,24,COMPLETE
14,1.1501755771432094,2023-12-07 13:34:35.189802,2023-12-07 13:34:35.398059,0 days 00:00:00.208257,32,24,36,168,48,COMPLETE
15,1.0162104975008948,2023-12-07 13:34:35.398823,2023-12-07 13:34:35.613243,0 days 00:00:00.214420,72,12,64,72,24,COMPLETE
16,0.5315840377015959,2023-12-07 13:34:35.614082,2023-12-07 13:34:35.823386,0 days 00:00:00.209304,56,48,48,120,20,COMPLETE
17,0.9571795236668017,2023-12-07 13:34:35.824162,2023-12-07 13:34:36.035098,0 days 00:00:00.210936,44,44,28,192,44,COMPLETE
18,-0.03422969605949015,2023-12-07 13:34:36.035887,2023-12-07 13:34:36.243001,0 days 00:00:00.207114,60,4,40,72,72,COMPLETE
19,2.2635513336229076,2023-12-07 13:34:36.243769,2023-12-07 13:34:36.447745,0 days 00:00:00.203976,48,32,72,120,16,COMPLETE
20,1.3188608368404142,2023-12-07 13:34:36.448527,2023-12-07 13:34:36.655431,0 days 00:00:00.206904,28,32,72,168,16,COMPLETE
21,2.351062801425933,2023-12-07 13:34:36.656135,2023-12-07 13:34:36.863993,0 days 00:00:00.207858,48,16,64,120,32,COMPLETE
22,1.8299641715317545,2023-12-07 13:34:36.864886,2023-12-07 13:34:37.071560,0 days 00:00:00.206674,48,12,64,120,32,COMPLETE
23,2.4927385134397126,2023-12-07 13:34:37.073178,2023-12-07 13:34:37.302080,0 days 00:00:00.228902,40,28,72,120,12,COMPLETE
24,1.018224963958111,2023-12-07 13:34:37.302876,2023-12-07 13:34:37.510220,0 days 00:00:00.207344,40,40,56,168,12,COMPLETE
25,0.0,2023-12-07 13:34:37.510949,2023-12-07 13:34:37.717708,0 days 00:00:00.206759,4,28,64,120,28,COMPLETE
26,0.8959259875714097,2023-12-07 13:34:37.718435,2023-12-07 13:34:37.927534,0 days 00:00:00.209099,32,40,68,144,8,COMPLETE
27,2.4542712100128004,2023-12-07 13:34:37.928252,2023-12-07 13:34:38.146482,0 days 00:00:00.218230,40,32,52,120,16,COMPLETE
28,1.9071951695055815,2023-12-07 13:34:38.147364,2023-12-07 13:34:38.368348,0 days 00:00:00.220984,40,16,52,192,32,COMPLETE
29,-0.6826121873015581,2023-12-07 13:34:38.369312,2023-12-07 13:34:38.583518,0 days 00:00:00.214206,28,28,60,144,4,COMPLETE
30,0.17567505608281184,2023-12-07 13:34:38.584334,2023-12-07 13:34:38.793563,0 days 00:00:00.209229,36,8,52,48,12,COMPLETE
31,2.24776559692257,2023-12-07 13:34:38.794358,2023-12-07 13:34:39.004670,0 days 00:00:00.210312,48,36,64,120,16,COMPLETE
32,2.728409803681886,2023-12-07 13:34:39.005439,2023-12-07 13:34:39.218161,0 days 00:00:00.212722,48,28,72,120,16,COMPLETE
33,2.145577283357419,2023-12-07 13:34:39.218922,2023-12-07 13:34:39.432544,0 days 00:00:00.213622,44,28,68,96,8,COMPLETE
34,2.1758958450004444,2023-12-07 13:34:39.433666,2023-12-07 13:34:39.645817,0 days 00:00:00.212151,52,24,72,144,20,COMPLETE
35,1.266416677593952,2023-12-07 13:34:39.646586,2023-12-07 13:34:39.854059,0 days 00:00:00.207473,56,16,60,120,4,COMPLETE
36,1.9938866349023523,2023-12-07 13:34:39.854778,2023-12-07 13:34:40.063847,0 days 00:00:00.209069,40,20,68,168,28,COMPLETE
37,2.0041585431001425,2023-12-07 13:34:40.064773,2023-12-07 13:34:40.272883,0 days 00:00:00.208110,52,48,72,96,8,COMPLETE
