number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_OI_window_rank,params_OI_window_rank_MA,params_RV_period,params_RV_window,system_attrs_nsga2:generation,state
0,-2.106746353090892,0.5988408936896784,-1.6369882451575608,28.859060402684566,2023-12-05 23:53:52.324414,2023-12-05 23:53:52.537276,0 days 00:00:00.212862,2.687765401357318,16,48,44,56,204,96,8,0,COMPLETE
1,-3.2587579499477863,0.6634775961553967,-1.4862447724984775,22.727272727272727,2023-12-05 23:53:52.537919,2023-12-05 23:53:52.760909,0 days 00:00:00.222990,1.8837829486728697,4,44,184,28,72,192,60,0,COMPLETE
2,1.0379538138216475,1.3671953916827484,1.8863206360706504,41.0958904109589,2023-12-05 23:53:52.761943,2023-12-05 23:53:52.973094,0 days 00:00:00.211151,2.3996599142099577,68,24,196,56,36,72,36,0,COMPLETE
3,1.693205711254686,2.0064521454757323,4.175368221416735,41.81818181818181,2023-12-05 23:53:52.973854,2023-12-05 23:53:53.185889,0 days 00:00:00.212035,2.7348814902385596,68,20,128,12,144,24,20,0,COMPLETE
4,0.45155863292005055,1.0863417825127348,0.5437374451146189,35.8974358974359,2023-12-05 23:53:53.186681,2023-12-05 23:53:53.402231,0 days 00:00:00.215550,2.892380745211092,56,52,96,36,168,72,32,0,COMPLETE
5,-0.9854881231433515,0.8189539775721573,-1.2051374468739307,29.326923076923077,2023-12-05 23:53:53.402956,2023-12-05 23:53:53.615177,0 days 00:00:00.212221,1.708745067521771,24,32,100,48,48,192,56,0,COMPLETE
6,0.518825168113856,1.125930649153055,0.6578802300275812,32.55813953488372,2023-12-05 23:53:53.615875,2023-12-05 23:53:53.826549,0 days 00:00:00.210674,2.38740774119968,72,48,68,52,96,240,16,0,COMPLETE
7,1.0590711610304306,1.293215270430443,2.3183802939123783,34.375,2023-12-05 23:53:53.827262,2023-12-05 23:53:54.033835,0 days 00:00:00.206573,2.824931893905129,40,48,116,40,60,96,32,0,COMPLETE
8,-0.13181853944835842,0.9479519012529692,-0.39758291633690784,32.67326732673268,2023-12-05 23:53:54.034511,2023-12-05 23:53:54.439781,0 days 00:00:00.405270,1.8184780194567147,40,4,208,32,96,120,20,0,COMPLETE
9,0.023125101873092496,0.9746870069167948,-0.22123665880658447,29.596412556053814,2023-12-05 23:53:54.440431,2023-12-05 23:53:54.647602,0 days 00:00:00.207171,1.9588572460456173,36,60,64,52,120,144,44,0,COMPLETE
10,0.9211613729049075,1.2210157168043436,1.688984649251895,38.655462184873954,2023-12-05 23:53:54.648359,2023-12-05 23:53:54.854575,0 days 00:00:00.206216,1.783478151168132,68,8,140,60,180,192,72,0,COMPLETE
11,-0.32876416563133687,0.892582026438271,-0.4519910333986123,39.0,2023-12-05 23:53:54.855437,2023-12-05 23:53:55.059900,0 days 00:00:00.204463,2.6865291176194868,64,8,68,60,108,144,24,0,COMPLETE
12,-0.7969618631503624,0.7773298070573551,-1.0554040441257617,29.166666666666668,2023-12-05 23:53:55.060680,2023-12-05 23:53:55.269642,0 days 00:00:00.208962,2.9235438009321193,24,40,16,44,12,192,32,0,COMPLETE
13,-0.30964649582751363,0.9201118887785129,-0.43168908862472133,32.22222222222222,2023-12-05 23:53:55.270353,2023-12-05 23:53:55.474205,0 days 00:00:00.203852,2.6023287846660343,52,20,136,8,96,216,72,0,COMPLETE
14,0.8082093069012096,1.1721149885135564,1.2488428743777367,37.404580152671755,2023-12-05 23:53:55.474860,2023-12-05 23:53:55.678602,0 days 00:00:00.203742,2.150492982580584,20,16,144,8,84,72,8,0,COMPLETE
15,-1.6677287678407497,0.5338598056413514,-1.2742799965466416,37.34939759036144,2023-12-05 23:53:55.679409,2023-12-05 23:53:55.887104,0 days 00:00:00.207695,2.8830546767481993,40,28,204,48,12,48,20,0,COMPLETE
16,1.1595347563238785,1.1985435877244284,1.8325080077783527,38.1294964028777,2023-12-05 23:53:55.887787,2023-12-05 23:53:56.092196,0 days 00:00:00.204409,2.3723465300398536,32,8,64,72,12,168,28,0,COMPLETE
17,0.32816755357680544,1.0883437022487046,0.42215508021081394,30.48780487804878,2023-12-05 23:53:56.092857,2023-12-05 23:53:56.297004,0 days 00:00:00.204147,2.3887480900630886,48,68,116,60,216,144,56,0,COMPLETE
18,,,,,2023-12-05 23:53:56.297721,2023-12-05 23:53:56.501786,0 days 00:00:00.204065,2.5612604524899147,4,48,128,8,180,24,28,0,FAIL
19,0.8490533339914349,1.319819935633895,1.4613939730268015,40.32258064516129,2023-12-05 23:53:56.502722,2023-12-05 23:53:56.707007,0 days 00:00:00.204285,2.800590049162424,68,64,156,60,96,144,32,0,COMPLETE
