number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,params_fastk_period,params_lower_KDJ,params_slowd_matype,params_slowd_period,params_slowk_matype,params_slowk_period,params_upper_KDJ,system_attrs_nsga2:generation,state
0,0.5643180997659302,0.9830553302999117,0.19136796750658702,2023-11-29 20:38:52.361285,2023-11-29 20:38:53.854211,0 days 00:00:01.492926,2,2.3400612551358906,11,WMA,1.658558694329506,52,14,26,2,4,1,4,84,0,COMPLETE
1,0.46156544843665465,0.20501840541336905,0.4988863900325438,2023-11-29 20:38:53.860195,2023-11-29 20:38:54.258152,0 days 00:00:00.397957,0,2.1917134912915017,17,WMA,2.926691811535249,28,14,28,2,5,2,5,89,0,COMPLETE
2,,,,2023-11-29 20:38:54.259195,2023-11-29 20:38:54.526869,0 days 00:00:00.267674,1,1.9475452781719205,32,SMA,1.2017552547628128,18,9,14,1,5,0,5,71,0,FAIL
3,0.44173630720880663,0.2469250331113022,0.43531674466275194,2023-11-29 20:38:54.530137,2023-11-29 20:38:54.801620,0 days 00:00:00.271483,0,2.3313187723219206,22,SMA,2.5573719482415207,44,14,20,1,5,1,3,81,0,COMPLETE
4,-0.45689139295988984,-0.19176677419543167,-0.413051911085181,2023-11-29 20:38:54.803583,2023-11-29 20:38:55.079466,0 days 00:00:00.275883,0,1.3431798728632214,50,WMA,2.801224041084085,34,18,30,2,3,2,4,81,0,COMPLETE
5,-0.3759611627140865,-0.17045051834984243,-0.06587612012318303,2023-11-29 20:38:55.080464,2023-11-29 20:38:55.346802,0 days 00:00:00.266338,0,1.5221504875155865,27,EMA,1.0718890708849367,29,18,15,0,5,0,3,74,0,COMPLETE
6,1.0239238595754636,0.7311439230514915,0.7045468412015944,2023-11-29 20:38:55.347800,2023-11-29 20:38:55.610771,0 days 00:00:00.262971,1,1.921125771932915,22,EMA,1.4219454540065912,22,16,30,2,3,1,4,76,0,COMPLETE
7,0.1837609205872624,0.04022687666327261,0.09716017236518638,2023-11-29 20:38:55.611768,2023-11-29 20:38:55.882989,0 days 00:00:00.271221,1,1.0678152571757256,24,WMA,1.509978938410885,51,8,14,0,4,1,3,71,0,COMPLETE
8,,,,2023-11-29 20:38:55.883987,2023-11-29 20:38:56.151821,0 days 00:00:00.267834,0,2.760345294402584,34,SMA,1.1200879698549726,35,10,28,2,4,2,4,81,0,FAIL
9,,,,2023-11-29 20:38:56.155811,2023-11-29 20:38:56.415174,0 days 00:00:00.259363,2,2.9383587454053406,52,EMA,1.9647954923062945,53,9,28,1,4,1,3,81,0,FAIL
10,0.1351566148397508,0.04652657443083455,0.04050383704229134,2023-11-29 20:38:56.417168,2023-11-29 20:38:56.683270,0 days 00:00:00.266102,1,2.0717335251286166,49,WMA,2.91934857755464,52,17,27,1,3,2,5,79,0,COMPLETE
11,0.07067574777448135,0.01611741410973434,0.013125302262670857,2023-11-29 20:38:56.684270,2023-11-29 20:38:56.946202,0 days 00:00:00.261932,0,1.4838377430681662,26,SMA,1.5378239242445697,13,11,14,1,5,2,5,89,0,COMPLETE
12,,,,2023-11-29 20:38:56.946202,2023-11-29 20:38:57.198981,0 days 00:00:00.252779,0,2.499451292484278,33,SMA,2.03779617047607,13,7,23,2,4,1,3,81,0,FAIL
13,-0.30192006409272154,-0.14397112807841672,-0.3669827694926792,2023-11-29 20:38:57.198981,2023-11-29 20:38:57.478702,0 days 00:00:00.279721,1,1.6105510603972515,37,SMA,2.559978839087596,42,10,21,0,3,0,3,83,0,COMPLETE
14,-0.8556034167990871,-0.26102060878120925,-0.686792021322241,2023-11-29 20:38:57.479695,2023-11-29 20:38:57.751780,0 days 00:00:00.272085,1,1.0292163729963646,44,SMA,2.744012122181071,22,19,28,1,3,0,4,80,0,COMPLETE
15,,,,2023-11-29 20:38:57.752740,2023-11-29 20:38:58.007956,0 days 00:00:00.255216,2,2.4683101294990513,19,SMA,2.4153363252141067,45,14,11,0,3,1,4,88,0,FAIL
16,,,,2023-11-29 20:38:58.009951,2023-11-29 20:38:58.276611,0 days 00:00:00.266660,0,2.5419771467839647,45,SMA,1.946014106742276,32,6,22,0,3,0,3,88,0,FAIL
17,0.35730116259099626,0.22225872262548427,0.3207481584512803,2023-11-29 20:38:58.277608,2023-11-29 20:38:58.543494,0 days 00:00:00.265886,2,2.063997268779673,44,WMA,2.6645735473248227,59,11,21,2,5,2,4,85,0,COMPLETE
