number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
0,0.09115478908016536,0.03659341537730951,0.01824769895207041,2023-11-29 20:11:22.835001,2023-11-29 20:11:23.495720,0 days 00:00:00.660719,2,2.8291868983424235,15,EMA,2.763737335723847,10,0,COMPLETE
1,0.24673335664158738,0.09227169565413344,0.15928586306308476,2023-11-29 20:11:23.496715,2023-11-29 20:11:24.222842,0 days 00:00:00.726127,0,1.4080680566847275,52,SMA,2.558507656115279,11,0,COMPLETE
2,-0.11759882407694958,-0.1031229658223836,-0.26765506941995726,2023-11-29 20:11:24.223838,2023-11-29 20:11:24.879774,0 days 00:00:00.655936,2,1.5109143121262762,41,WMA,2.5575376570982664,60,0,COMPLETE
3,-0.02119116874507138,-0.06892857379680267,-0.13912749631981342,2023-11-29 20:11:24.883765,2023-11-29 20:11:25.470991,0 days 00:00:00.587226,0,1.3513472238992268,49,WMA,2.3004330453124515,29,0,COMPLETE
4,0.8393002783455257,0.6533995141514183,2.0470277631209535,2023-11-29 20:11:25.471987,2023-11-29 20:11:26.082455,0 days 00:00:00.610468,1,2.901391715722947,34,EMA,2.750705268489706,30,0,COMPLETE
5,,,,2023-11-29 20:11:26.084450,2023-11-29 20:11:26.454415,0 days 00:00:00.369965,2,1.7101353765857847,42,EMA,1.4140408802741267,46,0,FAIL
6,,,,2023-11-29 20:11:26.455718,2023-11-29 20:11:26.957600,0 days 00:00:00.501882,1,1.7150384419321347,56,WMA,1.778810177438801,54,0,FAIL
7,,,,2023-11-29 20:11:26.958597,2023-11-29 20:11:27.071879,0 days 00:00:00.113282,2,2.9373639190182006,58,SMA,2.551401596046819,22,0,FAIL
8,0.2109783136292776,0.0785803937484099,0.12485131076305833,2023-11-29 20:11:27.072871,2023-11-29 20:11:27.568630,0 days 00:00:00.495759,1,1.0798149682517877,18,SMA,2.25235126385089,21,0,COMPLETE
9,0.43277668889731447,0.41031389611614766,0.4824009316269891,2023-11-29 20:11:27.569627,2023-11-29 20:11:28.178328,0 days 00:00:00.608701,0,1.7088487229177705,50,EMA,2.8421159505064226,19,0,COMPLETE
10,0.8014402584081451,0.7571699217648965,1.538704039823481,2023-11-29 20:11:28.179294,2023-11-29 20:11:28.760702,0 days 00:00:00.581408,0,2.2281061417516765,20,EMA,2.507295573400313,25,0,COMPLETE
11,0.21380896709414293,0.07222900702976282,0.12658029653794642,2023-11-29 20:11:28.760702,2023-11-29 20:11:29.303516,0 days 00:00:00.542814,0,1.0033318766217036,25,SMA,1.7396701382073019,40,0,COMPLETE
12,-0.28378948512006513,-0.11283501075389953,-0.09289272631493418,2023-11-29 20:11:29.304558,2023-11-29 20:11:29.552035,0 days 00:00:00.247477,0,2.1275670437478045,43,EMA,1.9102321179984123,57,0,COMPLETE
13,0.2912144790484473,0.1495654526873079,0.11049957649472006,2023-11-29 20:11:29.553033,2023-11-29 20:11:30.002700,0 days 00:00:00.449667,0,1.326298720825624,48,WMA,1.2915299323379545,21,0,COMPLETE
14,-0.20962518658012538,-0.11439489470158924,-0.15769148092981283,2023-11-29 20:11:30.003694,2023-11-29 20:11:30.636010,0 days 00:00:00.632316,1,2.839999363974564,15,EMA,2.9976745065119474,28,0,COMPLETE
15,0.05182547671359793,-0.02220127676245363,-0.04558246721635058,2023-11-29 20:11:30.637042,2023-11-29 20:11:31.218002,0 days 00:00:00.580960,1,2.1838408161931575,33,WMA,2.9742940523922927,38,0,COMPLETE
16,-0.1146278935836514,-0.07676741837623499,-0.1917136667948283,2023-11-29 20:11:31.219040,2023-11-29 20:11:31.678087,0 days 00:00:00.459047,2,1.2934556805035216,21,SMA,2.5486557686141786,17,0,COMPLETE
17,0.6487486565094097,0.597056414518704,0.7429906448883264,2023-11-29 20:11:31.680083,2023-11-29 20:11:32.246109,0 days 00:00:00.566026,0,1.4191621977034663,55,SMA,2.1174047664828626,14,0,COMPLETE
18,0.02761327011647787,-0.046607931172865935,-0.1102848749901851,2023-11-29 20:11:32.247109,2023-11-29 20:11:32.760707,0 days 00:00:00.513598,0,1.0937336592332134,48,SMA,2.8122581030274842,34,0,COMPLETE
19,,,,2023-11-29 20:11:32.760842,2023-11-29 20:11:32.858150,0 days 00:00:00.097308,2,1.7651329919681207,58,SMA,1.6909667582486478,57,0,FAIL
20,0.12148399692978806,0.01905066846847074,0.03513892601463297,2023-11-29 20:11:32.859116,2023-11-29 20:11:33.349833,0 days 00:00:00.490717,2,1.9418962637744088,17,EMA,2.9115132807169957,13,0,COMPLETE
