,symbol,rate,time
0,BNBUSDT,0.00000000,2020-02-10 16:00:00
1,BNBUSDT,0.00304635,2020-02-11 00:00:00
2,BNBUSDT,0.00161571,2020-02-11 08:00:00
3,BNBUSDT,0.00261274,2020-02-11 16:00:00
4,BNBUSDT,0.00155591,2020-02-12 00:00:00
5,BNBUSDT,0.00326618,2020-02-12 08:00:00
6,BNBUSDT,0.00222329,2020-02-12 16:00:00
7,BNBUSDT,0.00123233,2020-02-13 00:00:00
8,BNBUSDT,0.00066404,2020-02-13 08:00:00
9,BNBUSDT,0.00339783,2020-02-13 16:00:00
10,BNBUSDT,0.00051288,2020-02-14 00:00:00
11,BNBUSDT,0.00000000,2020-02-14 08:00:00
12,BNBUSDT,0.00083110,2020-02-14 16:00:00
13,BNBUSDT,0.00045706,2020-02-15 00:00:00
14,BNBUSDT,0.00205219,2020-02-15 08:00:00
15,BNBUSDT,0.00121877,2020-02-15 16:00:00
16,BNBUSDT,0.00231415,2020-02-16 00:00:00
17,BNBUSDT,0.00000000,2020-02-16 08:00:00
18,BNBUSDT,0.00000000,2020-02-16 16:00:00
19,BNBUSDT,0.00000000,2020-02-17 00:00:00
20,BNBUSDT,0.00000000,2020-02-17 08:00:00
21,BNBUSDT,0.00030250,2020-02-17 16:00:00
22,BNBUSDT,0.00110646,2020-02-18 00:00:00
23,BNBUSDT,0.00007369,2020-02-18 08:00:00
24,BNBUSDT,0.00000000,2020-02-18 16:00:00
25,BNBUSDT,0.00017557,2020-02-19 00:00:00
26,BNBUSDT,0.00002421,2020-02-19 08:00:00
27,BNBUSDT,0.00137686,2020-02-19 16:00:00
28,BNBUSDT,0.00000000,2020-02-20 00:00:00
29,BNBUSDT,0.00046778,2020-02-20 08:00:00
30,BNBUSDT,0.00072738,2020-02-20 16:00:00
31,BNBUSDT,0.00020171,2020-02-21 00:00:00
32,BNBUSDT,0.00000000,2020-02-21 08:00:00
33,BNBUSDT,0.00024140,2020-02-21 16:00:00
34,BNBUSDT,0.00042486,2020-02-22 00:00:00
35,BNBUSDT,0.00064889,2020-02-22 08:00:00
36,BNBUSDT,0.00049596,2020-02-22 16:00:00
37,BNBUSDT,0.00052603,2020-02-23 00:00:00
38,BNBUSDT,0.00075795,2020-02-23 08:00:00
39,BNBUSDT,0.00081155,2020-02-23 16:00:00
40,BNBUSDT,0.00020372,2020-02-24 00:00:00
41,BNBUSDT,0.00043004,2020-02-24 08:00:00
42,BNBUSDT,0.00015968,2020-02-24 16:00:00
43,BNBUSDT,0.00043662,2020-02-25 00:00:00
44,BNBUSDT,0.00012455,2020-02-25 08:00:00
45,BNBUSDT,0.00030493,2020-02-25 16:00:00
46,BNBUSDT,0.00031773,2020-02-26 00:00:00
47,BNBUSDT,0.00015623,2020-02-26 08:00:00
48,BNBUSDT,0.00018209,2020-02-26 16:00:00
49,BNBUSDT,0.00000000,2020-02-27 00:00:00
50,BNBUSDT,0.00000000,2020-02-27 08:00:00
51,BNBUSDT,0.00000000,2020-02-27 16:00:00
52,BNBUSDT,0.00000000,2020-02-28 00:00:00
53,BNBUSDT,0.00000000,2020-02-28 08:00:00
54,BNBUSDT,0.00000000,2020-02-28 16:00:00
55,BNBUSDT,0.00000000,2020-02-29 00:00:00
56,BNBUSDT,0.00000000,2020-02-29 08:00:00
57,BNBUSDT,0.00000000,2020-02-29 16:00:00
58,BNBUSDT,0.00028972,2020-03-01 00:00:00
59,BNBUSDT,0.00019026,2020-03-01 08:00:00
60,BNBUSDT,0.00031743,2020-03-01 16:00:00
61,BNBUSDT,0.00038074,2020-03-02 00:00:00
62,BNBUSDT,0.00000000,2020-03-02 08:00:00
63,BNBUSDT,0.00000000,2020-03-02 16:00:00
64,BNBUSDT,0.00000000,2020-03-03 00:00:00
65,BNBUSDT,-0.00001823,2020-03-03 08:00:00
66,BNBUSDT,-0.00020427,2020-03-03 16:00:00
67,BNBUSDT,0.00000000,2020-03-04 00:00:00
68,BNBUSDT,0.00000000,2020-03-04 08:00:00
69,BNBUSDT,0.00000000,2020-03-04 16:00:00
