uid,from_uid,value,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window
89,,3.5458886503342475,68,8,36,120,68
97,,3.3467271669182987,68,8,40,120,72
101,,3.3467271669182987,68,8,40,120,72
104,,3.9608739174823087,64,8,36,120,68
111,,3.711948302506385,64,8,40,120,72
112,,4.033594717200906,64,4,36,120,72
113,,4.033594717200906,64,4,36,120,72
114,,4.033594717200906,64,4,36,120,72
115,,4.029164398200101,60,4,40,120,72
117,,2.5406346642971043,64,4,40,96,72
118,,3.950289051604482,60,4,36,120,72
119,,3.950289051604482,60,4,36,120,72
120,,2.591713426391899,60,4,36,96,72
121,,3.950289051604482,60,4,36,120,72
122,,3.6909929264760586,56,4,36,120,72
123,,3.950289051604482,60,4,36,120,72
124,,3.950289051604482,60,4,36,120,72
126,,4.226843655618496,56,4,36,120,68
127,,3.703760501858586,56,4,40,120,64
129,,4.163536611444732,60,4,36,96,68
130,,2.8929019194715577,64,4,40,96,64
131,,4.226843655618496,56,4,36,120,68
133,,3.841938964080676,56,8,36,120,68
134,,3.841938964080676,56,8,36,120,68
135,,4.057901658315853,64,4,40,120,64
136,,2.660333939902956,64,4,44,96,64
140,,3.768702794390562,56,8,40,120,68
141,,3.950289051604482,60,4,36,120,72
142,,4.383801129048291,60,4,36,120,68
143,,4.226843655618496,56,4,36,120,68
146,,2.6801497170869584,64,8,40,96,64
149,,3.9608739174823087,64,8,36,120,68
151,,4.051779540590863,60,8,36,120,68
152,,4.383801129048291,60,4,36,120,68
153,,4.424350506325201,60,4,40,120,68
154,,4.2639727766994255,56,4,40,120,68
155,,3.703760501858586,56,4,40,120,64
157,,3.7681612993198,56,4,40,120,72
159,,4.140668817167323,60,4,44,120,68
160,,4.140668817167323,60,4,44,120,68
162,,3.752963645897889,60,4,44,120,72
163,,4.06191672478768,56,4,44,120,68
164,,4.06191672478768,56,4,44,120,68
167,,4.06191672478768,56,4,44,120,68
171,,4.06191672478768,56,4,44,120,68
172,,4.06191672478768,56,4,44,120,68
177,,2.536341518116071,56,8,44,120,68
179,,2.57882730421922,60,8,44,96,64
181,,4.424350506325201,60,4,40,120,68
182,,4.140668817167323,60,4,44,120,68
183,,4.140668817167323,60,4,44,120,68
184,,3.871125331955211,60,4,44,120,64
185,,4.06191672478768,56,4,44,120,68
187,,4.06191672478768,56,4,44,120,68
188,,4.140668817167323,60,4,44,120,68
189,,4.140668817167323,60,4,44,120,68
190,,4.1198833231230045,60,4,40,120,64
191,,4.424350506325201,60,4,40,120,68
192,,4.424350506325201,60,4,40,120,68
195,,4.424350506325201,60,4,40,120,68
196,,3.971949145677128,60,8,40,120,68
197,,4.221658099255148,60,4,40,96,68
198,,3.854530518137477,60,4,40,96,64
199,,3.994152919403254,60,8,40,96,68
200,,3.854530518137477,60,4,40,96,64
202,,4.424350506325201,60,4,40,120,68
204,,4.424350506325201,60,4,40,120,68
205,,3.971949145677128,60,8,40,120,68
206,,4.221658099255148,60,4,40,96,68
207,,4.221658099255148,60,4,40,96,68
208,,2.072077935763524,60,8,40,96,72
209,,4.221658099255148,60,4,40,96,68
211,,4.221658099255148,60,4,40,96,68
212,,4.221658099255148,60,4,40,96,68
213,,4.221658099255148,60,4,40,96,68
214,,2.5076069827244343,60,4,40,96,72
216,,3.7965564963625775,64,4,40,96,68
217,,2.591713426391899,60,4,36,96,72
218,,2.6801497170869584,64,8,40,96,64
