number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
0,1.5800142024206876,1.3908462579713794,5.350556466484755,53.03030303030303,2023-12-06 10:18:27.126038,2023-12-06 10:18:27.331134,0 days 00:00:00.205096,1.8482102560444251,56,60,212,0,COMPLETE
1,2.1434728451709124,1.8179099759913138,7.267856130271302,50.0,2023-12-06 10:18:27.331868,2023-12-06 10:18:27.531150,0 days 00:00:00.199282,2.952465753500377,60,64,156,0,COMPLETE
2,-0.7841456889604814,0.8305554512396073,-1.3798973160808388,28.947368421052634,2023-12-06 10:18:27.531862,2023-12-06 10:18:27.731819,0 days 00:00:00.199957,2.713632390914142,12,60,120,0,COMPLETE
3,3.870975491898643,2.3200049634527296,15.786799825347426,44.680851063829785,2023-12-06 10:18:27.732445,2023-12-06 10:18:27.927414,0 days 00:00:00.194969,2.2437881877707504,52,8,112,0,COMPLETE
4,-0.4780335007218889,0.8833783800477879,-0.9645133000232164,36.84210526315789,2023-12-06 10:18:27.928098,2023-12-06 10:18:28.134616,0 days 00:00:00.206518,2.005222880456665,52,4,20,0,COMPLETE
5,0.19125743302419015,1.007535775433847,0.11209250773981297,36.95652173913043,2023-12-06 10:18:28.135507,2023-12-06 10:18:28.350857,0 days 00:00:00.215350,1.6425994755799067,52,36,148,0,COMPLETE
6,-0.37467900759553047,0.8927937107805785,-0.859810412085073,32.69230769230769,2023-12-06 10:18:28.351553,2023-12-06 10:18:28.560605,0 days 00:00:00.209052,2.62462957713119,44,48,88,0,COMPLETE
7,-2.97770459243927,0.5539571434904975,-2.911684149347485,33.734939759036145,2023-12-06 10:18:28.561482,2023-12-06 10:18:28.775556,0 days 00:00:00.214074,1.8453294013838293,60,64,4,0,COMPLETE
8,1.7073679321165531,1.3475609781201203,3.4828271329592697,41.30434782608695,2023-12-06 10:18:28.776303,2023-12-06 10:18:28.997535,0 days 00:00:00.221232,2.9614209286070157,36,16,144,0,COMPLETE
9,-0.1335018773475243,0.9649412553788584,-0.42956788241460286,37.38317757009346,2023-12-06 10:18:28.998371,2023-12-06 10:18:29.210086,0 days 00:00:00.211715,1.789192539535962,48,16,120,0,COMPLETE
10,2.654850158757084,1.8022950745577897,6.066598023278051,40.476190476190474,2023-12-06 10:18:29.210861,2023-12-06 10:18:29.405786,0 days 00:00:00.194925,2.909677836433118,68,12,44,0,COMPLETE
