number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
0,0.8645183499927288,1.2299075602946583,1.9901984449145556,40.32258064516129,2023-12-06 10:27:08.738873,2023-12-06 10:27:08.937766,0 days 00:00:00.198893,32,12,64,0,COMPLETE
1,1.7773024526269576,1.8973615100505397,5.755973916486718,24.324324324324326,2023-12-06 10:27:08.938387,2023-12-06 10:27:09.129939,0 days 00:00:00.191552,36,68,100,0,COMPLETE
2,1.533777224473651,1.5231309407994484,4.695131263906735,39.58333333333333,2023-12-06 10:27:09.130543,2023-12-06 10:27:09.345378,0 days 00:00:00.214835,28,16,216,0,COMPLETE
3,,,,,2023-12-06 10:27:09.346186,2023-12-06 10:27:09.546175,0 days 00:00:00.199989,4,8,116,0,FAIL
4,1.878335514495272,1.9432304784571421,10.40742526155188,39.02439024390244,2023-12-06 10:27:09.547118,2023-12-06 10:27:09.740122,0 days 00:00:00.193004,36,40,92,0,COMPLETE
5,1.4131042335136332,1.616839048183439,3.6165185728749414,28.888888888888886,2023-12-06 10:27:09.740740,2023-12-06 10:27:09.932945,0 days 00:00:00.192205,8,40,16,0,COMPLETE
6,2.6325055036261973,2.8015983759397876,10.224123783958003,29.03225806451613,2023-12-06 10:27:09.933608,2023-12-06 10:27:10.125863,0 days 00:00:00.192255,52,56,168,0,COMPLETE
7,2.6618342911175503,2.510495361248737,13.97324393929905,43.58974358974359,2023-12-06 10:27:10.126643,2023-12-06 10:27:10.318220,0 days 00:00:00.191577,36,72,156,0,COMPLETE
8,0.16293228679338687,0.9872779889231587,0.21958807429874735,30.612244897959183,2023-12-06 10:27:10.318802,2023-12-06 10:27:10.506103,0 days 00:00:00.187301,36,28,4,0,COMPLETE
9,1.8922605289905445,1.9971780272154307,8.406411886741116,34.21052631578947,2023-12-06 10:27:10.506692,2023-12-06 10:27:10.711843,0 days 00:00:00.205151,8,40,92,0,COMPLETE
10,2.5508437446214924,2.467003423908873,9.774036909031382,37.142857142857146,2023-12-06 10:27:10.715513,2023-12-06 10:27:10.933350,0 days 00:00:00.217837,40,56,200,0,COMPLETE
11,3.3826555134570193,5.749437611364669,22.753067042760954,46.15384615384615,2023-12-06 10:27:10.934182,2023-12-06 10:27:11.131050,0 days 00:00:00.196868,72,56,192,0,COMPLETE
12,2.12179238722831,2.144577730440809,10.458072522058607,35.13513513513514,2023-12-06 10:27:11.131656,2023-12-06 10:27:11.327739,0 days 00:00:00.196083,36,36,132,0,COMPLETE
13,3.222300744196469,3.893623164005527,21.31764730466948,36.36363636363637,2023-12-06 10:27:11.328420,2023-12-06 10:27:11.522330,0 days 00:00:00.193910,8,68,108,0,COMPLETE
14,-1.427916875499104,0.5832927612373061,-1.5217604404829181,27.027027027027028,2023-12-06 10:27:11.522933,2023-12-06 10:27:11.718664,0 days 00:00:00.195731,8,68,36,0,COMPLETE
15,3.1360128605042488,5.623336437363902,17.126577811193425,48.148148148148145,2023-12-06 10:27:11.719490,2023-12-06 10:27:11.916343,0 days 00:00:00.196853,72,52,204,0,COMPLETE
16,2.3988502512659893,1.7564826981959238,12.529635005651269,33.33333333333333,2023-12-06 10:27:11.917187,2023-12-06 10:27:12.110494,0 days 00:00:00.193307,12,40,172,0,COMPLETE
17,1.8505394068472287,1.7300648027176422,14.431683371611781,32.72727272727273,2023-12-06 10:27:12.111149,2023-12-06 10:27:12.302848,0 days 00:00:00.191699,60,8,16,0,COMPLETE
18,,,,,2023-12-06 10:27:12.303451,2023-12-06 10:27:12.495199,0 days 00:00:00.191748,4,8,12,0,FAIL
19,0.22170284376458183,1.0288031381074687,0.1508887577728149,25.423728813559322,2023-12-06 10:27:12.496121,2023-12-06 10:27:12.689338,0 days 00:00:00.193217,12,48,8,0,COMPLETE
20,0.052622612105581584,0.9533169955184867,-0.08734366000060023,26.53061224489796,2023-12-06 10:27:12.690002,2023-12-06 10:27:12.881984,0 days 00:00:00.191982,32,40,12,0,COMPLETE
21,2.9086152391767084,2.9140738037835874,25.940939414161015,45.45454545454545,2023-12-06 10:27:12.882770,2023-12-06 10:27:13.075571,0 days 00:00:00.192801,52,12,140,0,COMPLETE
22,2.572526472718022,2.346717319139723,18.818230587614696,40.816326530612244,2023-12-06 10:27:13.076270,2023-12-06 10:27:13.267514,0 days 00:00:00.191244,32,20,156,0,COMPLETE
23,3.3394941813621126,3.0133332528440744,23.702305842825503,34.285714285714285,2023-12-06 10:27:13.268188,2023-12-06 10:27:13.459557,0 days 00:00:00.191369,8,44,144,0,COMPLETE
24,1.8046455463426145,1.5210264712863486,9.01763518330946,34.375,2023-12-06 10:27:13.460219,2023-12-06 10:27:13.651336,0 days 00:00:00.191117,16,20,156,0,COMPLETE
25,0.6528404953033782,1.174989868207201,1.1421473168006313,20.930232558139537,2023-12-06 10:27:13.651956,2023-12-06 10:27:13.841670,0 days 00:00:00.189714,44,36,16,0,COMPLETE
26,1.6312006026219723,1.7662706281080696,4.078545986111885,37.5,2023-12-06 10:27:13.842296,2023-12-06 10:27:14.032892,0 days 00:00:00.190596,48,68,176,0,COMPLETE
27,0.9450783325296096,1.2342640316508189,3.183814550239346,35.13513513513514,2023-12-06 10:27:14.033542,2023-12-06 10:27:14.225740,0 days 00:00:00.192198,20,16,64,0,COMPLETE
28,2.821606999180794,3.8922516112337204,12.466197211493737,37.5,2023-12-06 10:27:14.226375,2023-12-06 10:27:14.421133,0 days 00:00:00.194758,48,56,140,0,COMPLETE
29,1.7151359916256153,1.4936482526448143,7.980065738733727,34.92063492063492,2023-12-06 10:27:14.421903,2023-12-06 10:27:14.693035,0 days 00:00:00.271132,16,20,172,0,COMPLETE
30,2.299959834788672,2.6558787652190095,11.951235250997756,38.88888888888889,2023-12-06 10:27:14.693718,2023-12-06 10:27:14.885703,0 days 00:00:00.191985,48,36,184,0,COMPLETE
31,-1.4622193606473681,0.5806064961693691,-2.134432152657325,30.303030303030305,2023-12-06 10:27:14.886378,2023-12-06 10:27:15.086773,0 days 00:00:00.200395,52,52,40,0,COMPLETE
32,2.2827763639443552,2.8052615763952877,10.772928810151654,38.46153846153847,2023-12-06 10:27:15.087436,2023-12-06 10:27:15.279217,0 days 00:00:00.191781,8,56,88,0,COMPLETE
33,2.428493740995196,2.543192304996476,13.483340289361019,36.58536585365854,2023-12-06 10:27:15.279893,2023-12-06 10:27:15.474096,0 days 00:00:00.194203,40,28,88,0,COMPLETE
34,2.577627019810699,2.341114445629396,10.351692740570916,44.89795918367347,2023-12-06 10:27:15.474953,2023-12-06 10:27:15.671301,0 days 00:00:00.196348,52,4,144,0,COMPLETE
35,2.227301870065646,2.25664952454501,6.622994269665026,50.0,2023-12-06 10:27:15.671914,2023-12-06 10:27:15.862683,0 days 00:00:00.190769,48,20,216,0,COMPLETE
36,1.5359435083968285,1.4185433889180872,6.034031546176728,29.09090909090909,2023-12-06 10:27:15.863322,2023-12-06 10:27:16.078217,0 days 00:00:00.214895,20,32,88,0,COMPLETE
37,-1.664818447807602,0.5273700341296963,-2.226926364190539,27.027027027027028,2023-12-06 10:27:16.078977,2023-12-06 10:27:16.270931,0 days 00:00:00.191954,48,36,4,0,COMPLETE
38,3.0315127333370775,3.3905166543737977,22.41403355225027,35.13513513513514,2023-12-06 10:27:16.271623,2023-12-06 10:27:16.463223,0 days 00:00:00.191600,8,20,188,0,COMPLETE
39,1.790410319396246,1.502046710990939,5.291889732542157,28.000000000000004,2023-12-06 10:27:16.463955,2023-12-06 10:27:16.794556,0 days 00:00:00.330601,16,56,144,0,COMPLETE
40,1.4159288372814232,1.7303879376808402,7.687450681667933,45.65217391304348,2023-12-06 10:27:16.795161,2023-12-06 10:27:16.987438,0 days 00:00:00.192277,68,28,60,0,COMPLETE
41,-1.0367170484709796,0.6860000554151172,-1.5250475627483278,31.428571428571427,2023-12-06 10:27:16.988084,2023-12-06 10:27:17.181327,0 days 00:00:00.193243,16,48,44,0,COMPLETE
42,3.102255543852875,3.380535639717314,23.91195259516805,38.88888888888889,2023-12-06 10:27:17.182062,2023-12-06 10:27:17.381269,0 days 00:00:00.199207,8,12,164,0,COMPLETE
43,0.8339852638299284,1.2081191535064282,1.3873248875161106,34.61538461538461,2023-12-06 10:27:17.381911,2023-12-06 10:27:17.573309,0 days 00:00:00.191398,12,72,200,0,COMPLETE
44,1.6261755099366915,2.2951640027201865,7.040778239682734,39.39393939393939,2023-12-06 10:27:17.573985,2023-12-06 10:27:17.766012,0 days 00:00:00.192027,68,36,152,0,COMPLETE
45,3.0735747814830594,2.2478998533695584,24.78271742861622,40.909090909090914,2023-12-06 10:27:17.766679,2023-12-06 10:27:17.954858,0 days 00:00:00.188179,24,20,76,0,COMPLETE
46,2.4771314388050336,3.017369913259685,12.84280045341744,36.36363636363637,2023-12-06 10:27:17.955522,2023-12-06 10:27:18.154627,0 days 00:00:00.199105,72,40,152,0,COMPLETE
